nome,uriVella,NovoElemento,uriNiovo
controlled atmosphere packaging,http://aims.fao.org/aos/agrovoc/c_28312,atmosphere,http://aims.fao.org/aos/agrovoc/c_8994
modified atmosphere packaging,http://aims.fao.org/aos/agrovoc/c_10af9bb2,atmosphere,http://aims.fao.org/aos/agrovoc/c_8994
determination of species,http://aims.fao.org/aos/agrovoc/c_10354,species,http://aims.fao.org/aos/agrovoc/c_7280
species delimitation,http://aims.fao.org/aos/agrovoc/c_b71dfb10,species,http://aims.fao.org/aos/agrovoc/c_7280
meat inspection,http://aims.fao.org/aos/agrovoc/c_4676,meat,http://aims.fao.org/aos/agrovoc/c_4669
fish inspection,http://aims.fao.org/aos/agrovoc/c_10877,fish,http://aims.fao.org/aos/agrovoc/c_15903
radio telemetry,http://aims.fao.org/aos/agrovoc/c_24611a95,radio,http://aims.fao.org/aos/agrovoc/c_6424
volume tables,http://aims.fao.org/aos/agrovoc/c_24417,volume,http://aims.fao.org/aos/agrovoc/c_8288
volume tables,http://aims.fao.org/aos/agrovoc/c_24417,tables,http://aims.fao.org/aos/agrovoc/c_85d670e1
tree and stand measurement,http://aims.fao.org/aos/agrovoc/c_28056,measurement,http://aims.fao.org/aos/agrovoc/c_4668
depth measurement,http://aims.fao.org/aos/agrovoc/c_07da14ba,depth,http://aims.fao.org/aos/agrovoc/c_2190
pressure measurement,http://aims.fao.org/aos/agrovoc/c_8e340278,pressure,http://aims.fao.org/aos/agrovoc/c_6174
turbulence measurement,http://aims.fao.org/aos/agrovoc/c_a565c0ad,turbulence,http://aims.fao.org/aos/agrovoc/c_3a6b87a7
sound measurement,http://aims.fao.org/aos/agrovoc/c_6bfd12be,sound,http://aims.fao.org/aos/agrovoc/c_7251
water level measurement,http://aims.fao.org/aos/agrovoc/c_74108c27,water,http://aims.fao.org/aos/agrovoc/c_8309
salinity measurement,http://aims.fao.org/aos/agrovoc/c_c2f52e89,salinity,http://aims.fao.org/aos/agrovoc/c_6751
radar altimetry,http://aims.fao.org/aos/agrovoc/c_ee9933b3,radar,http://aims.fao.org/aos/agrovoc/c_24071
temperature measurement,http://aims.fao.org/aos/agrovoc/c_88daaea0,temperature,http://aims.fao.org/aos/agrovoc/c_7657
pollution monitoring,http://aims.fao.org/aos/agrovoc/c_b09404ab,pollution,http://aims.fao.org/aos/agrovoc/c_6077
rangelands monitoring,http://aims.fao.org/aos/agrovoc/c_218f84e4,rangelands,http://aims.fao.org/aos/agrovoc/c_6448
camera trapping,http://aims.fao.org/aos/agrovoc/c_d575aa0c,trapping,http://aims.fao.org/aos/agrovoc/c_7878
honey production,http://aims.fao.org/aos/agrovoc/c_3653,honey,http://aims.fao.org/aos/agrovoc/c_3652
meat production,http://aims.fao.org/aos/agrovoc/c_4679,meat,http://aims.fao.org/aos/agrovoc/c_4669
milk production,http://aims.fao.org/aos/agrovoc/c_4829,milk,http://aims.fao.org/aos/agrovoc/c_4826
wool production,http://aims.fao.org/aos/agrovoc/c_29375,wool,http://aims.fao.org/aos/agrovoc/c_8436
livestock production,http://aims.fao.org/aos/agrovoc/c_331557,livestock,http://aims.fao.org/aos/agrovoc/c_4397
forestry production,http://aims.fao.org/aos/agrovoc/c_3061,forestry,http://aims.fao.org/aos/agrovoc/c_3055
wood production,http://aims.fao.org/aos/agrovoc/c_28194,wood,http://aims.fao.org/aos/agrovoc/c_8421
seed production,http://aims.fao.org/aos/agrovoc/c_6937,seed,http://aims.fao.org/aos/agrovoc/c_6927
frost hardening,http://aims.fao.org/aos/agrovoc/c_16316,frost,http://aims.fao.org/aos/agrovoc/c_3113
stubble cleaning,http://aims.fao.org/aos/agrovoc/c_7472,stubble,http://aims.fao.org/aos/agrovoc/c_16650
stubble cleaning,http://aims.fao.org/aos/agrovoc/c_7472,cleaning,http://aims.fao.org/aos/agrovoc/c_1661
stubble mulching,http://aims.fao.org/aos/agrovoc/c_debb1abd,stubble,http://aims.fao.org/aos/agrovoc/c_16650
surface cultivation,http://aims.fao.org/aos/agrovoc/c_25725,cultivation,http://aims.fao.org/aos/agrovoc/c_2018
soil scarification,http://aims.fao.org/aos/agrovoc/c_24085,soil,http://aims.fao.org/aos/agrovoc/c_7156
soil scarification,http://aims.fao.org/aos/agrovoc/c_24085,scarification,http://aims.fao.org/aos/agrovoc/c_6843
soil breaking,http://aims.fao.org/aos/agrovoc/c_25707,soil,http://aims.fao.org/aos/agrovoc/c_7156
stubble tillage,http://aims.fao.org/aos/agrovoc/c_b219433a,stubble,http://aims.fao.org/aos/agrovoc/c_16650
seed drilling,http://aims.fao.org/aos/agrovoc/c_27912,seed,http://aims.fao.org/aos/agrovoc/c_6927
chemical fruit thinning,http://aims.fao.org/aos/agrovoc/c_35048,thinning,http://aims.fao.org/aos/agrovoc/c_7729
ball planting,http://aims.fao.org/aos/agrovoc/c_28028,planting,http://aims.fao.org/aos/agrovoc/c_5992
bare root planting,http://aims.fao.org/aos/agrovoc/c_28029,planting,http://aims.fao.org/aos/agrovoc/c_5992
container planting,http://aims.fao.org/aos/agrovoc/c_28050,planting,http://aims.fao.org/aos/agrovoc/c_5992
double transplanting,http://aims.fao.org/aos/agrovoc/c_330753,transplanting,http://aims.fao.org/aos/agrovoc/c_7873
high density planting,http://aims.fao.org/aos/agrovoc/c_34848,density,http://aims.fao.org/aos/agrovoc/c_2186
seed stratification,http://aims.fao.org/aos/agrovoc/c_7438,seed,http://aims.fao.org/aos/agrovoc/c_6927
seed stratification,http://aims.fao.org/aos/agrovoc/c_7438,stratification,http://aims.fao.org/aos/agrovoc/c_2d2ea4aa
cutting back,http://aims.fao.org/aos/agrovoc/c_10228,cutting,http://aims.fao.org/aos/agrovoc/c_2046
cutting back,http://aims.fao.org/aos/agrovoc/c_10228,back,http://aims.fao.org/aos/agrovoc/c_762
topping (pruning),http://aims.fao.org/aos/agrovoc/c_25090,topping,http://aims.fao.org/aos/agrovoc/c_25716
thinning (branches),http://aims.fao.org/aos/agrovoc/c_28169,thinning,http://aims.fao.org/aos/agrovoc/c_7729
thinning (branches),http://aims.fao.org/aos/agrovoc/c_28169,branches,http://aims.fao.org/aos/agrovoc/c_23995
topping (beets),http://aims.fao.org/aos/agrovoc/c_25089,topping,http://aims.fao.org/aos/agrovoc/c_25716
plant training,http://aims.fao.org/aos/agrovoc/c_5983,training,http://aims.fao.org/aos/agrovoc/c_7861
air layering,http://aims.fao.org/aos/agrovoc/c_8695,air,http://aims.fao.org/aos/agrovoc/c_224
propagation by cuttings,http://aims.fao.org/aos/agrovoc/c_25293,cuttings,http://aims.fao.org/aos/agrovoc/c_2048
endosperm grafting,http://aims.fao.org/aos/agrovoc/c_2562,endosperm,http://aims.fao.org/aos/agrovoc/c_2561
in vitro regeneration,http://aims.fao.org/aos/agrovoc/c_34114,regeneration,http://aims.fao.org/aos/agrovoc/c_6486
propagation by microcuttings,http://aims.fao.org/aos/agrovoc/c_27784,microcuttings,http://aims.fao.org/aos/agrovoc/c_35755
biomass production,http://aims.fao.org/aos/agrovoc/c_adfffd29,biomass,http://aims.fao.org/aos/agrovoc/c_926
aquaculture production,http://aims.fao.org/aos/agrovoc/c_e4dde96c,aquaculture,http://aims.fao.org/aos/agrovoc/c_550
seed cleaning,http://aims.fao.org/aos/agrovoc/c_14175,seed,http://aims.fao.org/aos/agrovoc/c_6927
air transport,http://aims.fao.org/aos/agrovoc/c_231,air,http://aims.fao.org/aos/agrovoc/c_224
inland water transport,http://aims.fao.org/aos/agrovoc/c_24860,water,http://aims.fao.org/aos/agrovoc/c_8309
transboundary movement of waste,http://aims.fao.org/aos/agrovoc/c_38ad7e4c,movement,http://aims.fao.org/aos/agrovoc/c_4961
ice rafting,http://aims.fao.org/aos/agrovoc/c_1735e7f9,ice,http://aims.fao.org/aos/agrovoc/c_3782
radio navigation,http://aims.fao.org/aos/agrovoc/c_04878d84,radio,http://aims.fao.org/aos/agrovoc/c_6424
radar navigation,http://aims.fao.org/aos/agrovoc/c_38de9f7b,radar,http://aims.fao.org/aos/agrovoc/c_24071
women's participation,http://aims.fao.org/aos/agrovoc/c_37661,women,http://aims.fao.org/aos/agrovoc/c_8420
health insurance,http://aims.fao.org/aos/agrovoc/c_7053,health,http://aims.fao.org/aos/agrovoc/c_3511
unemployment insurance,http://aims.fao.org/aos/agrovoc/c_8062,unemployment,http://aims.fao.org/aos/agrovoc/c_8061
livestock insurance,http://aims.fao.org/aos/agrovoc/c_28905,livestock,http://aims.fao.org/aos/agrovoc/c_4397
weather index insurance,http://aims.fao.org/aos/agrovoc/c_3e2763eb,weather,http://aims.fao.org/aos/agrovoc/c_15292
product development,http://aims.fao.org/aos/agrovoc/c_16018,development,http://aims.fao.org/aos/agrovoc/c_331049
farm closures,http://aims.fao.org/aos/agrovoc/c_2795,closures,http://aims.fao.org/aos/agrovoc/c_28373
property transfers,http://aims.fao.org/aos/agrovoc/c_6225,property,http://aims.fao.org/aos/agrovoc/c_13609
land transfers,http://aims.fao.org/aos/agrovoc/c_4181,land,http://aims.fao.org/aos/agrovoc/c_4172
inheritance (economics),http://aims.fao.org/aos/agrovoc/c_24859,economics,http://aims.fao.org/aos/agrovoc/c_2481
capital formation,http://aims.fao.org/aos/agrovoc/c_28644,capital,http://aims.fao.org/aos/agrovoc/c_1271
research support,http://aims.fao.org/aos/agrovoc/c_32533,research,http://aims.fao.org/aos/agrovoc/c_6513
extension funding,http://aims.fao.org/aos/agrovoc/c_9000060,extension,http://aims.fao.org/aos/agrovoc/c_2762
land value capture,http://aims.fao.org/aos/agrovoc/c_3c069d3e,land,http://aims.fao.org/aos/agrovoc/c_4172
income generation,http://aims.fao.org/aos/agrovoc/c_9000080,income,http://aims.fao.org/aos/agrovoc/c_3820
