nome,uriVella,NovoElemento,uriNiovo
windbreak trees,http://aims.fao.org/aos/agrovoc/c_8397,windbreaks,http://aims.fao.org/aos/agrovoc/c_8398
city trees,http://aims.fao.org/aos/agrovoc/c_35324,towns,http://aims.fao.org/aos/agrovoc/c_7823
forest trees,http://aims.fao.org/aos/agrovoc/c_3052,forests,http://aims.fao.org/aos/agrovoc/c_3062
seed trees,http://aims.fao.org/aos/agrovoc/c_6941,seed,http://aims.fao.org/aos/agrovoc/c_6927
multiple use trees,http://aims.fao.org/aos/agrovoc/c_33512,multiple use,http://aims.fao.org/aos/agrovoc/c_34052
nitrogen fixing trees,http://aims.fao.org/aos/agrovoc/c_35228,nitrogen,http://aims.fao.org/aos/agrovoc/c_5192
timber trees,http://aims.fao.org/aos/agrovoc/c_7776,wood,http://aims.fao.org/aos/agrovoc/c_8421
