nome,uriVella,NovoElemento,uriNiovo
life history,http://aims.fao.org/aos/agrovoc/c_4317,history,http://aims.fao.org/aos/agrovoc/c_3635
growth stages,http://aims.fao.org/aos/agrovoc/c_2230,growth,http://aims.fao.org/aos/agrovoc/c_3394
animal developmental stages,http://aims.fao.org/aos/agrovoc/c_425,animals,http://aims.fao.org/aos/agrovoc/c_444
natural egg incubation,http://aims.fao.org/aos/agrovoc/c_9445,egg incubation,http://aims.fao.org/aos/agrovoc/c_2497
insect growth forms,http://aims.fao.org/aos/agrovoc/c_330669,insects,http://aims.fao.org/aos/agrovoc/c_8dcb26c2
insect growth forms,http://aims.fao.org/aos/agrovoc/c_330669,plant habit,http://aims.fao.org/aos/agrovoc/c_5969
lactation stage,http://aims.fao.org/aos/agrovoc/c_331392,lactation,http://aims.fao.org/aos/agrovoc/c_4140
gestation period,http://aims.fao.org/aos/agrovoc/c_3252,pregnancy,http://aims.fao.org/aos/agrovoc/c_6166
gestation length,http://aims.fao.org/aos/agrovoc/c_3252,pregnancy,http://aims.fao.org/aos/agrovoc/c_6166
gestation length,http://aims.fao.org/aos/agrovoc/c_3252,length,http://aims.fao.org/aos/agrovoc/c_4260
pregnancy duration,http://aims.fao.org/aos/agrovoc/c_3252,pregnancy,http://aims.fao.org/aos/agrovoc/c_6166
pregnancy duration,http://aims.fao.org/aos/agrovoc/c_3252,duration,http://aims.fao.org/aos/agrovoc/c_2412
drying off (lactation),http://aims.fao.org/aos/agrovoc/c_24020,drying,http://aims.fao.org/aos/agrovoc/c_2402
drying off (lactation),http://aims.fao.org/aos/agrovoc/c_24020,lactation,http://aims.fao.org/aos/agrovoc/c_4140
fish larvae,http://aims.fao.org/aos/agrovoc/c_2924,fish,http://aims.fao.org/aos/agrovoc/c_15903
fish fry,http://aims.fao.org/aos/agrovoc/c_2924,fish,http://aims.fao.org/aos/agrovoc/c_15903
invertebrate larvae,http://aims.fao.org/aos/agrovoc/c_9081a121,invertebrates,http://aims.fao.org/aos/agrovoc/c_3929
insect larvae,http://aims.fao.org/aos/agrovoc/c_174dbcf1,insects,http://aims.fao.org/aos/agrovoc/c_8dcb26c2
crustacean larvae,http://aims.fao.org/aos/agrovoc/c_791a300c,crustaceans,http://aims.fao.org/aos/agrovoc/c_eaa20250
plant developmental stages,http://aims.fao.org/aos/agrovoc/c_5959,plants,http://aims.fao.org/aos/agrovoc/c_5993
seed filling,http://aims.fao.org/aos/agrovoc/c_26785,seed,http://aims.fao.org/aos/agrovoc/c_6927
seed filling,http://aims.fao.org/aos/agrovoc/c_26785,filling,http://aims.fao.org/aos/agrovoc/c_28541
pod filling,http://aims.fao.org/aos/agrovoc/c_26785,pods,http://aims.fao.org/aos/agrovoc/c_13475
pod filling,http://aims.fao.org/aos/agrovoc/c_26785,filling,http://aims.fao.org/aos/agrovoc/c_28541
grain filling,http://aims.fao.org/aos/agrovoc/c_26785,grain,http://aims.fao.org/aos/agrovoc/c_3346
grain filling,http://aims.fao.org/aos/agrovoc/c_26785,filling,http://aims.fao.org/aos/agrovoc/c_28541
flushing (plant),http://aims.fao.org/aos/agrovoc/c_15923,flushing,http://aims.fao.org/aos/agrovoc/c_35112
bud burst,http://aims.fao.org/aos/agrovoc/c_15923,buds,http://aims.fao.org/aos/agrovoc/c_1135
running to seed,http://aims.fao.org/aos/agrovoc/c_16116,toes,http://aims.fao.org/aos/agrovoc/c_14912
running to seed,http://aims.fao.org/aos/agrovoc/c_16116,seed,http://aims.fao.org/aos/agrovoc/c_6927
stem elongation,http://aims.fao.org/aos/agrovoc/c_7387,stems,http://aims.fao.org/aos/agrovoc/c_7390
bud initiation,http://aims.fao.org/aos/agrovoc/c_15948,buds,http://aims.fao.org/aos/agrovoc/c_1135
seed set,http://aims.fao.org/aos/agrovoc/c_36747,seed,http://aims.fao.org/aos/agrovoc/c_6927
seed set,http://aims.fao.org/aos/agrovoc/c_36747,sets,http://aims.fao.org/aos/agrovoc/c_7004
