nome,uriVella,NovoElemento,uriNiovo
Celebes Sea,http://aims.fao.org/aos/agrovoc/c_9691,Seas,http://aims.fao.org/aos/agrovoc/c_14148
Sulawesi Sea,http://aims.fao.org/aos/agrovoc/c_9691,Sulawesi,http://aims.fao.org/aos/agrovoc/c_7508
Sulawesi Sea,http://aims.fao.org/aos/agrovoc/c_9691,Seas,http://aims.fao.org/aos/agrovoc/c_14148
Molucca Sea,http://aims.fao.org/aos/agrovoc/c_31860,Maluku,http://aims.fao.org/aos/agrovoc/c_4552
Molucca Sea,http://aims.fao.org/aos/agrovoc/c_31860,Seas,http://aims.fao.org/aos/agrovoc/c_14148
Bering Sea,http://aims.fao.org/aos/agrovoc/c_883,Seas,http://aims.fao.org/aos/agrovoc/c_14148
Gulf of Alaska,http://aims.fao.org/aos/agrovoc/c_3433,Alaska,http://aims.fao.org/aos/agrovoc/c_240
East China Sea,http://aims.fao.org/aos/agrovoc/c_2443,China,http://aims.fao.org/aos/agrovoc/c_1556
East China Sea,http://aims.fao.org/aos/agrovoc/c_2443,Seas,http://aims.fao.org/aos/agrovoc/c_14148
Sea of Japan,http://aims.fao.org/aos/agrovoc/c_6897,Seas,http://aims.fao.org/aos/agrovoc/c_14148
Sea of Japan,http://aims.fao.org/aos/agrovoc/c_6897,Japan,http://aims.fao.org/aos/agrovoc/c_4039
Sea of Okhotsk,http://aims.fao.org/aos/agrovoc/c_6898,Seas,http://aims.fao.org/aos/agrovoc/c_14148
Yellow Sea,http://aims.fao.org/aos/agrovoc/c_8481,Seas,http://aims.fao.org/aos/agrovoc/c_14148
Gulf of California,http://aims.fao.org/aos/agrovoc/c_50096,California,http://aims.fao.org/aos/agrovoc/c_1206
Gulf of Finland,http://aims.fao.org/aos/agrovoc/c_3435,Finland,http://aims.fao.org/aos/agrovoc/c_2905
sea waters,http://aims.fao.org/aos/agrovoc/c_b1ba4370,water,http://aims.fao.org/aos/agrovoc/c_8309
Indo Pacific Ocean,http://aims.fao.org/aos/agrovoc/c_29976,Pacific Ocean,http://aims.fao.org/aos/agrovoc/c_5493
sloping land,http://aims.fao.org/aos/agrovoc/c_7109,land,http://aims.fao.org/aos/agrovoc/c_4172
atoll lagoons,http://aims.fao.org/aos/agrovoc/c_46eb43fd,atolls,http://aims.fao.org/aos/agrovoc/c_695
volcanic areas,http://aims.fao.org/aos/agrovoc/c_8286,area,http://aims.fao.org/aos/agrovoc/c_330588
land cover,http://aims.fao.org/aos/agrovoc/c_37897,land,http://aims.fao.org/aos/agrovoc/c_4172
root zone,http://aims.fao.org/aos/agrovoc/c_6569,roots,http://aims.fao.org/aos/agrovoc/c_6651
plant formations,http://aims.fao.org/aos/agrovoc/c_8176,plants,http://aims.fao.org/aos/agrovoc/c_5993
plant strata,http://aims.fao.org/aos/agrovoc/c_27989,plants,http://aims.fao.org/aos/agrovoc/c_5993
plant storeys,http://aims.fao.org/aos/agrovoc/c_27989,plants,http://aims.fao.org/aos/agrovoc/c_5993
leaf canopy,http://aims.fao.org/aos/agrovoc/c_1262,leaves,http://aims.fao.org/aos/agrovoc/c_4243
crown canopy,http://aims.fao.org/aos/agrovoc/c_1262,crown,http://aims.fao.org/aos/agrovoc/c_16172
